IdZdarzenia;Data;IdOsoby;IdWykroczenia
1;2023-01-01;617;1
2;2023-01-01;956;4
3;2023-01-01;366;1
4;2023-01-01;967;1
5;2023-01-01;212;1
6;2023-01-01;477;3
7;2023-01-01;668;6
8;2023-01-01;743;4
9;2023-01-01;311;6
10;2023-01-01;35;3
11;2023-01-01;361;3
12;2023-01-01;300;1
13;2023-01-01;296;3
14;2023-01-01;318;1
15;2023-01-01;283;3
16;2023-01-02;425;6
17;2023-01-02;950;1
18;2023-01-02;882;6
19;2023-01-02;839;3
20;2023-01-02;650;1
21;2023-01-02;804;4
22;2023-01-02;549;1
23;2023-01-02;709;4
24;2023-01-02;767;5
25;2023-01-02;851;1
26;2023-01-02;363;2
27;2023-01-02;592;2
28;2023-01-02;991;5
29;2023-01-02;472;1
30;2023-01-03;518;6
31;2023-01-03;169;4
32;2023-01-03;591;1
33;2023-01-03;89;1
34;2023-01-03;72;5
35;2023-01-03;682;1
36;2023-01-03;958;1
37;2023-01-03;735;2
38;2023-01-03;481;4
39;2023-01-03;120;4
40;2023-01-03;651;5
41;2023-01-03;275;4
42;2023-01-03;894;3
43;2023-01-03;402;3
44;2023-01-04;250;3
45;2023-01-04;456;2
46;2023-01-04;887;2
47;2023-01-04;842;5
48;2023-01-04;727;4
49;2023-01-04;171;3
50;2023-01-04;6;4
51;2023-01-04;222;1
52;2023-01-04;268;2
53;2023-01-04;985;6
54;2023-01-04;983;5
55;2023-01-04;484;5
56;2023-01-04;66;4
57;2023-01-05;250;5
58;2023-01-05;798;5
59;2023-01-05;147;6
60;2023-01-05;437;5
61;2023-01-05;460;6
62;2023-01-05;379;1
63;2023-01-05;329;5
64;2023-01-05;846;1
65;2023-01-05;40;3
66;2023-01-05;476;5
67;2023-01-05;621;6
68;2023-01-05;153;6
69;2023-01-05;140;2
70;2023-01-05;311;3
71;2023-01-05;999;5
72;2023-01-05;227;5
73;2023-01-05;93;5
74;2023-01-05;648;6
75;2023-01-06;259;2
76;2023-01-06;360;6
77;2023-01-06;459;5
78;2023-01-06;35;4
79;2023-01-06;460;1
80;2023-01-06;647;3
81;2023-01-06;625;3
82;2023-01-06;713;1
83;2023-01-06;107;5
84;2023-01-06;158;6
85;2023-01-06;833;5
86;2023-01-06;26;3
87;2023-01-06;429;4
88;2023-01-06;742;4
89;2023-01-07;77;2
90;2023-01-07;729;6
91;2023-01-07;144;5
92;2023-01-07;787;2
93;2023-01-07;732;2
94;2023-01-07;206;4
95;2023-01-07;150;3
96;2023-01-07;633;4
97;2023-01-07;887;6
98;2023-01-07;357;6
99;2023-01-07;850;4
100;2023-01-07;792;1
101;2023-01-07;422;2
102;2023-01-07;281;5
103;2023-01-08;234;4
104;2023-01-08;798;2
105;2023-01-08;187;3
106;2023-01-08;298;1
107;2023-01-08;166;1
108;2023-01-08;290;6
109;2023-01-08;278;3
110;2023-01-08;731;3
111;2023-01-08;831;2
112;2023-01-08;649;1
113;2023-01-08;931;3
114;2023-01-08;629;1
115;2023-01-09;108;5
116;2023-01-09;649;1
117;2023-01-09;201;6
118;2023-01-09;699;1
119;2023-01-09;532;6
120;2023-01-09;941;3
121;2023-01-09;556;5
122;2023-01-09;393;1
123;2023-01-09;480;3
124;2023-01-09;679;5
125;2023-01-10;153;1
126;2023-01-10;710;5
127;2023-01-10;96;2
128;2023-01-10;923;6
129;2023-01-10;506;5
130;2023-01-10;307;5
131;2023-01-10;334;6
132;2023-01-10;615;4
133;2023-01-11;349;2
134;2023-01-11;931;4
135;2023-01-11;599;6
136;2023-01-11;771;2
137;2023-01-11;975;6
138;2023-01-11;930;3
139;2023-01-11;235;6
140;2023-01-11;549;5
141;2023-01-11;298;3
142;2023-01-11;830;4
143;2023-01-12;948;3
144;2023-01-12;506;4
145;2023-01-12;191;1
146;2023-01-12;646;3
147;2023-01-12;346;3
148;2023-01-12;354;5
149;2023-01-12;933;4
150;2023-01-12;183;6
151;2023-01-12;203;4
152;2023-01-12;502;1
153;2023-01-12;591;6
154;2023-01-12;815;5
155;2023-01-12;88;4
156;2023-01-12;898;5
157;2023-01-12;628;3
158;2023-01-12;603;2
159;2023-01-13;888;5
160;2023-01-13;197;5
161;2023-01-13;308;6
162;2023-01-13;53;3
163;2023-01-13;540;1
164;2023-01-13;158;4
165;2023-01-13;22;6
166;2023-01-13;679;5
167;2023-01-13;300;6
168;2023-01-13;433;1
169;2023-01-13;366;6
170;2023-01-13;290;2
171;2023-01-13;646;5
172;2023-01-13;411;2
173;2023-01-13;195;2
174;2023-01-13;750;4
175;2023-01-13;230;4
176;2023-01-13;680;1
177;2023-01-14;953;1
178;2023-01-14;37;6
179;2023-01-14;607;3
180;2023-01-14;272;4
181;2023-01-14;521;6
182;2023-01-14;212;1
183;2023-01-14;737;6
184;2023-01-14;591;3
185;2023-01-14;707;4
186;2023-01-14;798;1
187;2023-01-14;978;6
188;2023-01-14;342;2
189;2023-01-14;894;1
190;2023-01-14;429;6
191;2023-01-14;176;3
192;2023-01-14;58;3
193;2023-01-14;43;1
194;2023-01-15;847;5
195;2023-01-15;883;6
196;2023-01-15;539;3
197;2023-01-15;160;2
198;2023-01-15;360;5
199;2023-01-15;94;2
200;2023-01-15;358;2
201;2023-01-15;328;2
202;2023-01-15;57;1
203;2023-01-15;687;3
204;2023-01-15;728;2
205;2023-01-15;870;4
206;2023-01-16;482;4
207;2023-01-16;450;2
208;2023-01-16;710;4
209;2023-01-16;501;1
210;2023-01-16;821;5
211;2023-01-16;105;1
212;2023-01-16;105;6
213;2023-01-16;552;3
214;2023-01-16;484;6
215;2023-01-16;414;1
216;2023-01-16;639;4
217;2023-01-16;686;3
218;2023-01-16;993;4
219;2023-01-16;700;2
220;2023-01-16;111;2
221;2023-01-17;791;2
222;2023-01-17;682;6
223;2023-01-17;563;2
224;2023-01-17;856;6
225;2023-01-17;467;5
226;2023-01-17;336;1
227;2023-01-17;941;3
228;2023-01-17;814;2
229;2023-01-17;213;4
230;2023-01-17;688;1
231;2023-01-17;828;4
232;2023-01-17;325;6
233;2023-01-17;501;4
234;2023-01-17;134;4
235;2023-01-17;235;3
236;2023-01-17;553;1
237;2023-01-17;679;3
238;2023-01-17;968;3
239;2023-01-18;783;3
240;2023-01-18;959;2
241;2023-01-18;857;3
242;2023-01-18;338;3
243;2023-01-18;177;2
244;2023-01-18;664;4
245;2023-01-18;67;1
246;2023-01-18;866;6
247;2023-01-18;22;3
248;2023-01-18;479;3
249;2023-01-18;465;1
250;2023-01-19;242;4
251;2023-01-19;927;5
252;2023-01-19;508;5
253;2023-01-19;237;4
254;2023-01-19;651;3
255;2023-01-19;439;6
256;2023-01-19;720;1
257;2023-01-19;419;2
258;2023-01-19;652;1
259;2023-01-19;580;5
260;2023-01-19;841;2
261;2023-01-19;24;3
262;2023-01-19;576;3
263;2023-01-20;636;5
264;2023-01-20;130;5
265;2023-01-20;880;4
266;2023-01-20;680;5
267;2023-01-20;529;3
268;2023-01-20;841;6
269;2023-01-20;571;6
270;2023-01-20;998;6
271;2023-01-20;679;3
272;2023-01-20;631;4
273;2023-01-20;292;3
274;2023-01-20;851;5
275;2023-01-21;64;3
276;2023-01-21;99;4
277;2023-01-21;261;1
278;2023-01-21;507;6
279;2023-01-21;327;4
280;2023-01-21;474;2
281;2023-01-21;820;2
282;2023-01-21;243;5
283;2023-01-21;407;3
284;2023-01-21;73;6
285;2023-01-21;250;6
